codice_fiscale,nome,cognome,eta,sesso,immatricolato
VRDMLD95D23E089Z,Giorgia,Bernardini,30,F,true
GRNFRC32M15F861I,Paloma,Munari,27,F,true
TLRMRS32P14B933V,Concetta,Boaga,28,F,true
PGLLRN87D53F552O,Antonio,Casellati,23,M,true
CVSNGC54P26B408E,Geronimo,Migliaccio,23,M,true
CRSZEI65L53I855B,Elmo,Nicolini,15,M,false
MZZRNZ49L54B854Q,Mauro,Garrone,24,M,true
CEOCRT65S17F315V,Giuseppe,Forza,12,M,false
LCRTNI78C05A817L,Marcella,Iannotti,21,F,true
CLGRNL10C09L460C,Calcedonio,Versace,29,M,true
DLLFDL79L59L869C,Giada,Carfagna,30,F,true
CNVMRA11B23E593N,Corrado,Zaccardo,29,M,false
GGLGSI88A48E092R,Griselda,Pacelli,12,F,false
CGURSN90H30H438T,Aldo,Giulietti,27,M,true
SPNNGL32A56C559B,Gianmarco,Panatta,15,M,false
BNNGGL84B60F301D,Luigina,Pederiva,15,F,false
DSULNI00C31D903Q,Marisa,Guglielmi,16,F,false
NDRRMN88T17F709Z,Marissa,Montalcini,17,F,false
FOXVTR90B06A355J,Sonia,Gioberti,22,F,true
CCRMNL66B67L173X,Donna,Mercalli,21,F,true
MNZMRN53A57A856J,Simonetta,Montalcini,25,F,true
FNTMRA54L24D373M,Silvestro,Torlonia,30,M,true
PNNDRA86R71B215D,Flora,Letta,30,F,true
CSLGRL71M01F730K,Lucrezia,Vergassola,22,F,false
CTLGRG08E63C813E,Fabrizia,Ossola,20,F,false
MZZLSN05P12C335M,Mauro,Iannuzzi,25,M,true
GRDGNR74A55I254T,Lara,Scotto,24,F,true
RBBLNE88R26H974K,Iolanda,Ruggieri,21,F,true
NVRMDA71T68I875Q,Salvi,Giorgetti,30,M,true
CBCDLM00C56E743K,Jolanda,Pizzamano,11,F,false
CMCGNZ86D51G788E,Massimo,Brichese,28,M,false
FGGDRA86T59I950P,Giorgia,Trebbi,29,F,true
CNTFDC06C43I725F,Serena,Callegari,18,F,false
CCELDN20C51A360Y,Carolina,Capone,26,F,false
GZZCRN87T57L865P,Zaira,Borromini,20,F,true
ZCCCLD14P19L496I,Carla,Paltrinieri,16,F,false
MGLLRT14R27B716B,Licia,Ceri,26,F,true
MGLMRN34S69H577Z,Caterina,Borsellino,26,F,true
FRRSLV88T03I877Y,Lina,Natta,15,F,false
BRSVLR74H54L812D,Arturo,Palombi,17,M,false
ZMRGSR59M45I113V,Rodolfo,Agazzi,12,M,false
GNNGSV00S69E675K,Alderano,Naccari,13,M,false
TRVPNI93B04D951Q,Ruggero,Moneta,20,M,true
GRMVRL83M59F293A,Paloma,Rinaldi,13,F,false
GNNFRC10C02G826L,Ciro,Gioberti,19,M,true
RTSDIA02H01C430S,Greco,Giammusso,14,M,false
MRGRSN81P45E818T,Costantino,Mazzocchi,13,M,false
SQRMLA14D11B070W,Bruno,Trobbiani,11,M,false
FGGVLR22A43G528F,Marcella,Benedetti,24,F,true
FRZSLV58S58I437I,Beatrice,Vespa,24,F,true
BRSPRN10T46L294C,Temistocle,Baracca,22,M,false
RTSMTD35P24G481N,Saverio,Casagrande,13,M,false
SLLDNL81P30A820G,Lolita,Ariosto,28,F,true
PVRGNR34M70L765D,Ennio,Battisti,29,M,false
NRDRAI14A24G084G,Biagio,Taliani,23,M,false
CNVCLD50T14F767P,Gioele,Fabbri,21,M,true
TCCMLN49D07H114F,Valeria,Carnera,20,F,true
RMZMLN75P25H055I,Gianpietro,Foscari,29,M,true
PLTLBT13H60L122Z,Eliana,Cignaroli,11,F,false
JLLGLN28R50H735W,Pellegrino,Comboni,18,M,false
GHUGRL69A07M389X,Cipriano,Tarantini,27,M,true
GVNGNE50B11C925I,Alberico,Bodoni,23,M,false
VRGGRG58L10B570H,Giuseppe,Vigliotti,18,M,false
VLLGMM16T15I630S,Nedda,Visconti,13,F,false
TSTLCN16T68D848J,Micheletto,Corbo,18,M,false
LGNSPH23C10G773G,Amalia,Babbo,22,F,true
CMNNNZ22R11M121V,Gabriella,Cossiga,17,F,false
MFFDLA13T06I951F,Paulina,Viviani,22,F,false
PSCSMN44L59L349F,Angelo,Rocca,14,M,false
PCCMRL51M16B384K,Roberto,Montanariello,26,M,true
DVRMLD81E10B711B,Greco,Quasimodo,26,M,true
TMBGMM48E19G872R,Ippazio,Trillini,13,M,false
CSRRMD18H57D143A,Ivo,Zacchia,13,M,false
MNZGRM57E65F836O,Tiziano,Morucci,27,M,false
LBNMLI98S51F087W,Giuseppe,Dalla,29,M,true
TSSPLG56R58B819G,Aria,Mercantini,30,F,true
LTRBNT26H43M424M,Rosalia,Tasca,30,F,true
NNZLZR85P41M314L,Dario,Endrizzi,30,M,false
TLNSPH90L02E944L,Amalia,Mondadori,18,F,false
CRVVLT38D04B945Q,Elmo,Caruso,30,M,true
MLNPLA39L55H537Q,Milo,Ioppi,20,M,true
VTTCRT17L20G333F,Lidia,Priuli,23,F,false
MSCBRR69D11D300G,Ermes,Rocca,23,M,true
LRCCRT05R08A281X,Gianpaolo,Trebbi,22,M,true
TRPMLA89D21H151V,Sandro,Chechi,22,M,false
MNTGSR40A46B742G,Goffredo,Pinamonte,24,M,true
GRRRMN71S65B788A,Angelica,Aloisio,24,F,true
PNENNI52S43I985Y,Piersanti,Verri,13,M,false
NNLVCR32A05H978B,Patrizia,Bova,21,F,true
LNGGBL49T18I649T,Liliana,Pareto,11,F,false
GGLMCL92A57B813X,Milo,Gussoni,17,M,false
RSSLLT49H21D014T,Augusto,Callegari,21,M,true
BRNDNG02D46A359Y,Anita,Collina,18,F,false
RGNDNT93R69F312X,Tatiana,Nicolini,30,F,true
MSTMRA41A30F351Y,Ida,Petrocelli,11,F,false
SPNDNL85D23E128Q,Francesco,Marenzio,18,M,false
GRSSBN79T58H884A,Antonietta,Campano,30,F,true
GHUPNL61M56C649Y,Cassandra,Ioppi,14,F,false
NNCSRS60L42G795Z,Aldo,Togliatti,29,M,false
LRURSO46C16E651K,Fiorino,Boccioni,26,M,false
PLMRMN93B14H001S,Bettina,Vespa,28,F,true
MNNMRN21S21C336B,Vittoria,Barese,17,F,false
RFFGRN47S29D711V,Liana,Blasi,15,F,false
MNLGNR57S64I278I,Filippa,Natta,22,F,true
JCZRCT77P42E072K,Cristina,Zoppetto,23,F,true
GVNDRT16L60B497J,Arturo,Pacillo,26,M,true
FRCRFL34E21C002C,Federigo,Castelli,26,M,true
TRVVRC58S19F064S,Sylvia,Vento,28,F,true
RCCCSR04R44G751W,Letizia,Casalodi,13,F,false
FBNFBA67P01F795E,Piersanti,Stoppani,29,M,false
NVRSRN67L27I955Y,Patrizio,Filangieri,11,M,false
STNRMN76C17A436Q,Martina,Scaduto,19,F,true
GRNPRR25D65L059K,Mauro,Bova,21,M,true
PMTGML74L64L816U,Guido,Molesini,12,M,false
MZZRCT11S44C189I,Calogero,Olivetti,28,M,true
TSCRMD68M45A920B,Eleanora,Magnani,12,F,false
TRCNZE96A47L797X,Vincentio,Lollobrigida,27,M,true
VLNLDN38C65B328K,Greca,Bernardi,16,F,false
MNDCCL16P13F687O,Annalisa,Navarria,14,F,false
GMMCTN36E06G292G,Piergiuseppe,Taliercio,26,M,true
MDCMRL78H19E114F,Amanda,Borsellino,29,F,true
NSTLRT25T17F639U,Jacopo,Iacobucci,11,M,false
PSCPLN43E18F184R,Goffredo,Comeriato,20,M,true
LZURSR65H70B999G,Marcella,Salgari,11,F,false
BTTRMG51P54F579V,Coluccio,Cicilia,14,M,false
VRRRMN39T45D855O,Milo,Corradi,17,M,false
BRZPRR92A64H154K,Vanessa,Soffici,28,F,true
CHDTRS91E26L953A,Telemaco,Saracino,13,M,false
MZZRNR70B56F192U,Pomponio,Trebbi,26,M,true
TSLFBZ23D10D166D,Morena,Sordi,24,F,false
MSCLDA59T43M280C,Tonino,Battaglia,24,M,true
BRNFLP01P15C203Q,Dina,Manzoni,18,F,false
CMPDRT91M55C321P,Mirco,Pizzo,13,M,false
TRTGLR91C08E343K,Maura,Scandone,28,F,true
CTTRAI22A29F283Q,Silvestro,Taliercio,15,M,false
CRERCT24E62C977S,Ludovico,Contrafatto,15,M,false
